osm_id,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
5799175055,Lindt,chocolate,NA,Lindt,St-Laurent Boulevard,1763,NA,NA,-75.6257194,45.4047387
5799591486,Black Gold Coffee,coffee,NA,NA,Michael Street,1604,NA,NA,-75.6260513,45.4096499
5800014784,Haven's Creamery,NA,ice_cream,NA,Bank Street,755,NA,NA,-75.688819,45.4040673
5804014807,Nat's Bread,bakery,NA,NA,Boyd Avenue,857,NA,NA,-75.7506533,45.3764508
5808941737,Simply Baked Catering,pastry,NA,NA,Main Street,493,NA,NA,-75.3531955,45.0930547
5833589339,Fiesta Manila Bakery,bakery,NA,NA,Bank Street,1800,NA,NA,-75.6653477,45.3715415
5833729295,Le Roi Pastry & Bakery,bakery,NA,NA,Bank Street,1729,NA,NA,-75.6648494,45.3742997
5836676602,Saigon Meats & Vegetables,butcher,NA,NA,Somerset Street West,777,NA,NA,-75.7099883,45.4099449
5838349131,Golden Baquette Bakery,bakery,NA,NA,Bank Street,242,NA,NA,-75.6974121,45.4163806
5838349138,Yi Rho,bakery,NA,NA,Bank Street,252,NA,NA,-75.6972304,45.4161669
5838486038,World of Tea,tea,NA,NA,Bank Street,220,NA,NA,-75.6979626,45.4170466
5838522821,Magic Molecule,NA,ice_cream,NA,Bank Street,217,NA,NA,-75.69774,45.4171587
5846387287,Brett's Ice Cream,NA,ice_cream,NA,Beaverbrook Road,1001,NA,NA,-75.8992289,45.3288189
5867011021,Moo Shu Ice Cream,NA,ice_cream,NA,Bank Street,477,NA,NA,-75.6927048,45.4109321
5874367899,Milos Pastry,pastry,NA,NA,Industrial Avenue,505,NA,NA,-75.6476323,45.4120783
5888865469,M&M Food Market,butcher,NA,M&M Food Market,Notre Dame Street,953,NA,NA,-75.2825944,45.272024
5891377797,Reed's Ice Cream,NA,ice_cream,NA,Stittsville Main Street,1523,NA,NA,-75.9201361,45.2580258
5891377803,Ivan's Meat and Deli,butcher,NA,NA,Stittsville Main Street,1496,NA,NA,-75.9213953,45.2588873
5891429651,Lois N' Frima's,NA,ice_cream,NA,Stittsville Main Street,1626,NA,NA,-75.9165868,45.254057
5893484100,Brew It Boutique,coffee,NA,NA,Centrum Boulevard,250,NA,NA,-75.5101772,45.4800484
5909002985,The Daily Scoop Café,NA,ice_cream,NA,NA,NA,NA,NA,-76.1800875,45.2371435
5912767327,Hadalyna Bakery,bakery,NA,NA,Rue Front,117,NA,NA,-75.8555049,45.4042825
5924647581,The Almonte Ice Cream Shop,NA,ice_cream,NA,NA,NA,NA,NA,-76.1971714,45.2253712
5930606234,Sweet and Sassy,bakery,NA,NA,John Street North,114,NA,NA,-76.3542784,45.4339136
5930606268,Bee Savvy Fine Foods,deli,NA,NA,John Street North,90,NA,NA,-76.3548132,45.4333341
5941699898,Cantors Bakery,bakery,NA,NA,Albert Street,255,NA,NA,-75.7009117,45.4198232
5947441355,Al Madina Meat and Food Market,butcher,NA,NA,Cadboro Road,1136,NA,NA,-75.6213185,45.4309213
5995855522,My Choc-O-La,chocolate,NA,NA,Ogilvie Road,1054,NA,NA,-75.634698,45.4247819
6018229226,Boulangerie Dans Un Village,bakery,NA,NA,Chemin Old Chelsea,242,Chelsea,J9B 1J3,-75.8105862,45.5032369
6029471950,Stubbe Chocolates,chocolate,NA,NA,Wellington Street West,1224,NA,NA,-75.7311727,45.3996767
6053540751,Purple Cow Chocolate & Ice Cream,chocolate,ice_cream,NA,Colonnade Road,111,NA,NA,-75.7025908,45.3467692
6065306249,Frissons & Bonbons,NA,ice_cream,NA,NA,NA,NA,NA,-75.7721955,45.4646089
6067433322,Vaporel,beverages,NA,NA,NA,NA,NA,NA,-75.7548992,45.4499386
6067433325,Les Flavoureux,butcher,NA,NA,Rue Cholette,1,NA,NA,-75.752048,45.4535052
6094106073,Café Delish,pastry,NA,NA,Somerset Street West,373,NA,NA,-75.6967445,45.4153304
6100576569,Lindt,chocolate,NA,Lindt,Rideau Street,73,NA,NA,-75.6926733,45.4265166
6100576582,Lois N' Frema's,NA,ice_cream,NA,George Street,71,NA,NA,-75.6916289,45.4274159
6100664539,First Bite,bakery,NA,NA,Sussex Drive,531,NA,NA,-75.6943135,45.4268432
6114108744,Matar Meat Shop,butcher,NA,NA,Albion Road South,3515,NA,NA,-75.6428365,45.3543053
6114403958,Froshberg Gelato,NA,ice_cream,NA,Rideau Street,50,NA,NA,-75.6901062,45.4245926
6116709243,Tease Tea,tea,NA,NA,Canotek Road,5480,NA,NA,-75.583427,45.4596885
6124216001,Pinkberry,NA,ice_cream,Pinkberry,Bayshore Drive,100,NA,NA,-75.8068219,45.3470859
6124216004,La Crémière,NA,ice_cream,NA,Bayshore Drive,100,NA,NA,-75.8065978,45.3465376
6144146699,Frank's Catering and Baked Goods,bakery,NA,NA,Antares Drive,22,NA,NA,-75.7089989,45.3343752
6259113015,Elden's Bakery,pastry,NA,NA,Donald B. Munro Drive,415,NA,NA,-76.0347012,45.3442097
6281320917,Alicja Confections,chocolate,NA,NA,Richmond Road,303,NA,NA,-75.7520014,45.3930629
6281653439,Mystea,tea,NA,NA,Boulevard Gréber,178,NA,NA,-75.7017325,45.4717024
6283637092,La Crémière,NA,ice_cream,NA,NA,NA,NA,NA,-75.6945642,45.4763613
6286347134,Crèmerie et Churros Flamingo,NA,ice_cream,NA,Boulevard Saint-René Ouest,160,NA,NA,-75.6528103,45.4920127
6287480490,Boulangerie St Method,bakery,NA,NA,Boulevard Maloney Est,518,NA,NA,-75.6332195,45.4846201
6337444312,Le Diperie,NA,ice_cream,NA,Richmond Road,429,NA,NA,-75.7582307,45.3901126
6386265339,Marché de l'Outaouais,deli,NA,NA,Rue Eddy,71,NA,NA,-75.7200909,45.4272413
6386265341,Boulangerie Estoril,bakery,NA,NA,Rue Eddy,89,NA,NA,-75.7201687,45.4278832
6427086063,Boucherie Greber,bakery,NA,NA,Boulevard Gréber,355,NA,NA,-75.7005604,45.4799778
6427086071,Pastina,deli,NA,NA,Boulevard Gréber,355,NA,NA,-75.7008179,45.4793459
6434027409,Kate's Treats & Treasures,deli,NA,NA,St. Lawrence Street,230,NA,NA,-75.8369379,44.9149797
6434672057,Downtown Ice Cream & Candy Shoppe,NA,ice_cream,NA,St. Lawrence Street,166,NA,NA,-75.8366429,44.9154731
6450933848,Lapointe Fish,seafood,NA,NA,By Ward Market Square,44,NA,NA,-75.6927639,45.4274387
6465108243,Papilles Gourmandes,deli,NA,NA,Boulevard Saint-Joseph,256,NA,NA,-75.7328169,45.4368916
6475750182,Christopher's Meat Market,butcher,NA,NA,Perth Street,6146,NA,NA,-75.8395216,45.1936012
6481522548,Whiteker Meat Market,butcher,NA,NA,NA,NA,NA,NA,-75.2435093,44.9744501
6515420715,Cassis House,NA,ice_cream,NA,Rue Principale,137,NA,NA,-75.8423185,45.3952364
6550522705,Pinkberry,NA,ice_cream,Pinkberry,Wellington Street West,1235,NA,NA,-75.7323098,45.3998578
6573512596,Nasser Bakery,bakery,NA,NA,Meadowlands Drive,888,NA,NA,-75.7023165,45.3682835
6587846844,Home of Fresh Pasta,deli,NA,NA,Wellington Street West,1063,Ottawa,NA,-75.7247532,45.4038636
6591722040,3Cents2,bakery,NA,NA,Bank Street,1940,NA,NA,-75.6621558,45.3675217
6600232642,Aqualife,beverages,NA,NA,NA,NA,NA,NA,-75.3041755,45.5404807
6600290364,M&M Food Market,butcher,NA,M&M Food Market,NA,NA,NA,NA,-75.3029148,45.5404714
6651582035,Stella Luna Gelato,NA,ice_cream,NA,NA,NA,NA,NA,-76.1460468,45.1396741
6665537171,Montana Coffee & Tea Service,coffee,NA,NA,Stevenage Drive,2465,NA,K1G 3W2,-75.6041756,45.3820566
6714638174,The Cupcake Lounge,pastry,NA,NA,Richmond Road,324,NA,NA,-75.7531936,45.3922719
6716014948,Crèmerie Linda,NA,ice_cream,NA,NA,NA,NA,NA,-75.4352255,45.553594
6719002790,Laura Secord,chocolate,NA,Laura Secord,NA,NA,NA,NA,-75.7141553,45.4266452
6720239445,Choco Motive,chocolate,NA,NA,NA,NA,NA,NA,-75.4170026,45.5870983
6754681503,Savoir Fare,bakery,NA,NA,NA,NA,NA,NA,-75.7564006,45.3495501
6761589281,Neo Financial,NA,bank,NA,NA,NA,NA,NA,-75.6906433,45.4248223
6761628260,Baskin-Robbins,NA,ice_cream,Baskin-Robbins,NA,NA,NA,NA,-75.6915571,45.4253037
6762936967,Marche-El-Andalous,butcher,NA,NA,NA,NA,NA,NA,-75.742799,45.4577311
6779491896,Pickled Pig Cheese & Charcuterie,cheese,NA,NA,Chambers Street,1,NA,NA,-76.0206957,44.8986431
6816047666,Petit Macrons,bakery,NA,NA,Montréal Road,1758,NA,NA,-75.6090624,45.4455199
6913413419,Scheel's Butcher Shop,butcher,NA,NA,NA,NA,NA,NA,-76.2902824,45.332647
6918438167,Perth Chocolate Works,chocolate,NA,NA,NA,NA,NA,NA,-76.2514767,44.8997605
6960189478,The Butcher's Edge,butcher,NA,NA,NA,NA,NA,NA,-76.2473206,44.8983289
6960231060,The Perth Cheese Shop,cheese,NA,NA,NA,NA,NA,NA,-76.249565,44.8992879
6960899969,Hummingbird Chocolate,chocolate,NA,NA,NA,NA,NA,NA,-76.1842458,45.2330566
