osm_id,type,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
5934579429,restaurant,Restaurant 18,NA,restaurant,NA,York Street,18,NA,K1N 5T5,-75.6940378,45.4274349
5934579435,restaurant,Bistro Ristoro,NA,restaurant,NA,Clarence Street,17,NA,NA,-75.6949379,45.4284501
5934602875,fast_food,Carrots Buffet Boutique,NA,fast_food,NA,Laurier Avenue West,340,NA,NA,-75.6997375,45.4181268
5934602876,cafe,Tim Hortons,NA,cafe,Tim Hortons,Laurier Avenue West,269,NA,K1P 5J9,-75.6982542,45.4190293
5934602878,fast_food,Fuel Bar,NA,fast_food,NA,Metcalfe Street,99,NA,NA,-75.6955095,45.4208898
5934602879,fast_food,Olly Fresco's,NA,fast_food,NA,Elgin Street,90,NA,NA,-75.6951375,45.4219948
5939864440,convenience,Alta Juba Supermarket,convenience,NA,NA,Albion Road North,2925,NA,NA,-75.6536874,45.373315
5939864448,restaurant,Asli Dining,NA,restaurant,NA,Bank Street,2019,NA,NA,-75.6595735,45.3654206
5941699900,cafe,Babylon Cafe,NA,cafe,NA,Albert Street,270,NA,NA,-75.7011236,45.4192828
5941699908,fast_food,Green Rebel,NA,fast_food,NA,Albert Street,340,NA,NA,-75.7025841,45.418767
5941699910,fast_food,Sushi Go,NA,fast_food,NA,Albert Street,340,NA,NA,-75.7028785,45.4186521
5941699913,convenience,The Cove Tuck Shop,convenience,NA,NA,Albert Street,350,NA,NA,-75.7034692,45.4183735
5941699914,restaurant,LIFT Resto Lounge,NA,restaurant,NA,Lyon Street North,101,NA,NA,-75.7042015,45.4184271
5941722843,restaurant,Carleton Grill,NA,restaurant,NA,Albert Street,150,NA,NA,-75.6975751,45.4209245
5941722845,convenience,Ceci Cela,convenience,NA,NA,O'Connor Street,50,NA,NA,-75.6990033,45.4207315
5941722846,cafe,Cafe le Monde,NA,cafe,NA,Bank Street,99,NA,K1P 6B9,-75.6991535,45.4206539
5941722847,cafe,Starbucks,NA,cafe,Starbucks,O'Connor Street,50,NA,NA,-75.6996477,45.420395
5941722848,fast_food,Green Rebel,NA,fast_food,NA,O'Connor Street,50,NA,NA,-75.6992889,45.4209551
5941745348,bar,LIVE! on Elgin,NA,bar,NA,Elgin Street,220,NA,NA,-75.6913818,45.4186773
5941745350,restaurant,The Whalesbone,NA,restaurant,NA,Elgin Street,231,NA,K2P 1L6,-75.6910781,45.4188851
5947441340,cafe,Starbucks,NA,cafe,Starbucks,Ogilvie Road,1459,NA,NA,-75.6174991,45.4321998
5947441356,fast_food,Lucky King Chinese Food,NA,fast_food,NA,Cadboro Road,1134,NA,NA,-75.6213628,45.4309919
5947588512,fast_food,Tokyo Grill,NA,fast_food,NA,Ogilvie Road,1980,NA,NA,-75.609494,45.4322191
5947588513,fast_food,Mr. Cheezy Pizza,NA,fast_food,NA,Ogilvie Road,1980,NA,NA,-75.6094444,45.4321702
5947588516,fast_food,Shawarma Centre,NA,fast_food,NA,Ogilvie Road,1980,NA,NA,-75.6095564,45.4317796
5947588519,fast_food,Silly Billy's,NA,fast_food,NA,Ogilvie Road,1980,NA,NA,-75.6095832,45.4317382
5947588520,fast_food,Bagan Indian Food,NA,fast_food,NA,Ogilvie Road,1980,NA,NA,-75.6096355,45.4317048
