ONS_ID,food_convenience_num_region_plus_buffer,food_convenience_num_per_1000_res_plus_buffer,food_convenience_dist_closest_3_popwt,food_convenience_pct_within_15_mins,food_fastfood_num_region_plus_buffer,food_fastfood_num_per_1000_res_plus_buffer,food_fastfood_dist_closest_3_popwt,food_fastfood_pct_within_15_mins,food_grocery_num_region_plus_buffer,food_grocery_num_per_1000_res_plus_buffer,food_grocery_dist_closest_3_popwt,food_grocery_pct_within_15_mins,food_resto_num_region_plus_buffer,food_resto_num_per_1000_res_plus_buffer,food_resto_dist_closest_3_popwt,food_resto_pct_within_15_mins,food_specialty_num_region_plus_buffer,food_specialty_num_per_1000_res_plus_buffer,food_specialty_dist_closest_3_popwt,food_specialty_pct_within_15_mins
3079,9,0.373,0.908,1,20,0.83,0.71,1,1,0.041,1.588,0.648,22,0.913,0.732,1,6,0.249,1.385,0.498
3080,5,0.224,1.26,0.925,19,0.851,0.975,0.8,1,0.045,2.18,0.268,19,0.851,0.961,0.909,2,0.09,1.654,0.517
3081,5,0.301,1.214,0.955,11,0.661,0.864,0.964,1,0.06,2.001,0.473,10,0.601,0.91,0.906,0,0,2.386,0.09
3082,5,0.586,0.578,1,7,0.82,0.472,1,1,0.117,1.264,0.989,5,0.586,0.6,1,1,0.117,1.09,0.989
3083,2,0.309,0.827,1,11,1.698,0.479,1,1,0.154,1.042,0.941,10,1.543,0.55,1,5,0.772,0.6,1
3084,1,20,NA,NA,2,40,NA,NA,0,0,NA,NA,3,60,NA,NA,2,40,NA,NA
3085,4,0.354,1.112,0.881,24,2.122,0.621,0.989,1,0.088,1.233,0.851,21,1.857,0.719,0.989,1,0.088,1.1,0.805
3086,2,0.35,6.367,0.397,4,0.7,3.959,0.43,1,0.175,10.484,0.288,3,0.525,4.921,0.321,0,0,12.981,0
3087,15,0.709,0.648,0.955,58,2.742,0.508,1,4,0.189,1.093,0.863,28,1.324,0.641,1,10,0.473,0.975,0.979
3088,1,0.169,1.004,1,1,0.169,0.859,1,0,0,1.201,0.35,2,0.339,0.777,1,2,0.339,0.883,1
3089,5,0.799,0.738,1,9,1.439,0.65,1,0,0,1.625,0.352,5,0.799,0.763,1,1,0.16,2.082,0.87
3090,2,0.328,1.191,0.975,2,0.328,1.126,0.719,0,0,1.709,0.471,0,0,1.377,0.635,1,0.164,1.254,0.975
3091,4,0.133,2.034,0.415,28,0.934,1.367,0.552,6,0.2,2.094,0.314,19,0.634,1.327,0.567,5,0.167,2.186,0.197
3092,1,0.224,1.095,0.693,3,0.671,0.72,1,0,0,2.869,0,0,0,1.118,0.861,0,0,1.118,0.768
3093,0,0,1.066,0.945,3,0.949,0.724,1,0,0,1.453,0.78,0,0,1.167,0.89,0,0,1.118,0.945
3094,1,0.221,1.616,0.756,2,0.441,1.393,0.756,0,0,2.369,0,0,0,1.884,0,0,0,1.832,0.297
3095,6,0.585,0.928,0.985,24,2.338,0.81,0.977,2,0.195,1.48,0.66,10,0.974,0.903,0.839,8,0.779,1.116,0.84
3097,2,0.137,1.211,0.967,4,0.275,1.044,0.794,2,0.137,1.589,0.692,0,0,1.453,0.545,0,0,1.483,0.5
3098,0,0,2.022,0.059,1,0.213,1.605,0.562,0,0,2.19,0.017,2,0.426,1.206,0.9,0,0,2,0.017
3099,0,0,1.963,0.278,0,0,1.711,0.278,0,0,2.324,0.099,0,0,1.606,0.34,0,0,2.185,0.188
3100,3,0.157,1.879,0.749,7,0.366,1.32,0.746,1,0.052,2.918,0.317,4,0.209,1.673,0.582,0,0,3.668,0
3101,8,0.595,0.98,0.863,28,2.083,0.802,0.932,7,0.521,1.661,0.482,17,1.264,1.191,0.793,7,0.521,1.467,0.548
3102,0,0,0.975,0.892,0,0,0.959,0.892,0,0,1.068,0.859,1,0.606,0.986,0.892,0,0,1.178,0.892
3103,3,0.273,1.066,0.751,10,0.911,0.874,0.81,0,0,2.058,0.616,9,0.82,1.143,0.689,3,0.273,1.414,0.729
3104,15,1.084,0.359,1,89,6.431,0.346,1,2,0.145,1.163,0.779,38,2.746,0.338,1,11,0.795,0.932,0.929
3105,1,0.36,0.921,1,17,6.115,0.536,1,3,1.079,0.717,1,6,2.158,0.685,1,3,1.079,0.828,1
3106,5,0.225,1.837,0.608,20,0.901,1.115,0.681,2,0.09,2.724,0.251,13,0.586,1.261,0.721,6,0.27,1.41,0.519
3107,0,0,2.362,0.112,17,1.617,1.403,0.426,3,0.285,1.82,0.335,8,0.761,1.643,0.263,2,0.19,1.898,0.221
3108,5,0.389,1.485,0.809,24,1.867,1.099,0.836,2,0.156,1.9,0.658,14,1.089,1.137,0.841,0,0,2.334,0.194
3109,2,0.072,2.549,0.481,26,0.935,2.579,0.151,4,0.144,2.735,0.07,13,0.467,2.573,0.14,0,0,3.452,0.04
3110,1,0.213,1.845,0.256,4,0.852,1.139,0.65,1,0.213,2.787,0.517,6,1.278,1.119,0.673,3,0.639,1.313,0.445
3111,16,1.525,0.384,1,24,2.287,0.415,1,1,0.095,1.345,0.827,21,2.001,0.528,1,4,0.381,0.699,1
3112,17,2.321,0.347,1,22,3.003,0.304,1,2,0.273,1.108,1,15,2.048,0.384,1,2,0.273,0.768,1
3113,1,0.356,5.06,0,1,0.356,5.642,0.272,0,0,13.287,0,0,0,7.725,0,0,0,13.388,0.055
3114,0,0,0.977,1,5,1.828,0.713,1,0,0,2.112,0,4,1.463,0.743,1,0,0,2.162,0
3115,12,1.362,0.341,1,35,3.973,0.235,1,2,0.227,0.928,0.946,85,9.648,0.187,1,9,1.022,0.402,1
3116,3,0.244,1.097,0.92,22,1.792,0.507,1,3,0.244,0.987,0.92,22,1.792,0.544,1,9,0.733,0.718,0.98
3117,3,0.262,1.064,0.817,9,0.787,0.772,0.964,1,0.087,1.274,0.868,9,0.787,0.749,0.957,3,0.262,1.033,0.932
