osm_id,name,ons_type,type,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
576378521,OneZo Tapioca,fast_food,cafe,NA,cafe,NA,Merivale Road,1556,NA,NA,-75.73588941763948,45.35353717186608
576378532,Sea King Restaurant,restaurant,restaurant,NA,restaurant,NA,Merivale Road,1558,NA,NA,-75.73548674881579,45.3530189512168
576378541,Tiger Sugar,fast_food,cafe,NA,cafe,NA,Merivale Road,1558,NA,NA,-75.73538404875218,45.352903998031884
576400393,Asia Garden,fast_food,fast_food,NA,fast_food,NA,Dynes Road,886,NA,NA,-75.70444877299742,45.369970776368255
576409128,Booster Juice,fast_food,fast_food,NA,fast_food,Booster Juice,Merivale Road,1460,NA,NA,-75.73577525203169,45.362431473669915
576409130,Starbucks,fast_food,cafe,NA,cafe,Starbucks,Merivale Road,1460,NA,NA,-75.73553207418895,45.362499680108556
576409163,La Casa Del Gusto,restaurant,restaurant,NA,restaurant,NA,Merivale Road,1460,NA,NA,-75.73459819382258,45.36202494285909
576412262,Mucho Burrito,fast_food,fast_food,NA,fast_food,Mucho Burrito,Baseline Road,1385,NA,K2C 3G1,-75.73794782435026,45.36252515806541
576412266,Zaky Grill,fast_food,fast_food,NA,fast_food,NA,Baseline Road,1385,NA,K2C 3G1,-75.7383935718156,45.36233562268883
576412268,The Burger's Priest,fast_food,fast_food,NA,fast_food,The Burger's Priest,Baseline Road,1365,NA,NA,-75.73739561584493,45.36276619127011
576869290,Lucky Dragon,restaurant,restaurant,NA,restaurant,NA,Hazeldean Road,6081,NA,NA,-75.93193751975136,45.27308988374773
576869291,Brew Revolution,restaurant,pub,NA,pub,NA,Hazeldean Road,6081,NA,NA,-75.93200743243204,45.273045961005124
576869294,Pocopazzo,restaurant,restaurant,NA,restaurant,NA,Hazeldean Road,6081,NA,NA,-75.93223204704627,45.272925100028985
576869297,Gabriel Pizza,fast_food,fast_food,NA,fast_food,Gabriel Pizza,Hazeldean Road,6081,NA,NA,-75.93240999293853,45.27281335288191
576869298,Mucho Burrito,fast_food,fast_food,NA,fast_food,Mucho Burrito,Hazeldean Road,6081,NA,NA,-75.93245578129087,45.27276616181161
576873990,Pelican Fishery & Grill,restaurant,restaurant,NA,restaurant,NA,Bank Street,1500,NA,NA,-75.67042192761633,45.38107256888785
576873991,Farm Boy,grocery,supermarket,supermarket,NA,Farm Boy,Bank Street,1500,NA,K1H 7Z1,-75.67026381409565,45.38141287256198
576881312,Domino's,fast_food,fast_food,NA,fast_food,Domino's,Campeau Drive,8221,NA,NA,-75.92309626752564,45.305530340803685
576883845,St. Louis Bar & Grill,restaurant,restaurant,NA,restaurant,St. Louis Bar & Grill,Tenth Line Road,2280,NA,NA,-75.48335349730746,45.45196570519416
576883846,Tim Hortons,fast_food,cafe,NA,cafe,Tim Hortons,Tenth Line Road,2280,NA,NA,-75.48345285485622,45.45207247534711
576883848,Little Caesars,fast_food,fast_food,NA,fast_food,Little Caesars,Tenth Line Road,2284,NA,NA,-75.4831421860691,45.45164949716174
576883849,Culinaire d'Orléans,restaurant,restaurant,NA,restaurant,NA,Tenth Line Road,2284,NA,NA,-75.4831822672276,45.45170704411199
